# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    de2000<40 and logd25 > 1 and logd25 < 1.436692597664054 and modz > 31.727013715119934 and modz < 35.513949442581136
# Display the fields:              objname, al2000, de2000
# Description of each column
# objname: ------------- <NA>
#  al2000: ------------- <NA>
#  de2000: ------------- <NA>
#------- ------- -------
objname  al2000  de2000
#------- ------- -------
SDSSJ094213.92+044032.9	9.7038685	4.6757678
2MASXJ21195732-0820352	21.3325857	-8.3431182
PGC059000	16.7978808	36.7059731
SDSSJ081015.54+335735.0	8.1709838	33.9596609
PGC3442011	22.9223556	-33.8895556
SDSSJ015840.32+003115.3	1.9778625	0.5209413
SDSSJ092416.59+343031.6	9.404606	34.508807
SDSSJ103441.24+111223.6	10.5781283	11.2066404
SDSSJ121348.85+132548.1	12.2302392	13.4300752
SDSSJ140021.15+385504.2	14.0058752	38.9178084
2MASXJ13341710+3455455	13.5714142	34.9293648
2MASXJ15543083+0500099	15.9085634	5.0028737
SDSSJ141606.29+352022.5	14.2684284	35.3394846
SDSSJ211444.79+105220.5	21.2457755	10.8723951
SDSSJ150805.85+013905.5	15.1349579	1.6516405
SDSSJ084741.60+380358.3	8.794892	38.0662583
SDSSJ103621.59+134302.7	10.6060024	13.7174849
SDSSJ121345.13+132526.5	12.2291972	13.4240362
SDSSJ131241.26+123620.1	13.211459	12.6056321
SDSSJ133004.20-014304.0	13.5011656	-1.7177399
SDSSJ015032.27+133942.2	1.8422941	13.6617434
SDSSJ135737.29+392853.5	13.9603567	39.481546
SDSSJ142114.72+032623.9	14.3540877	3.4400132
SDSSJ110956.58+104328.0	11.1657218	10.7244367
SDSSJ142717.24+044809.8	14.4547922	4.8027113
SDSSJ164433.69+321252.9	16.7426794	32.2147984
SDSSJ102004.86+383713.1	10.3346894	38.6202413
SDSSJ090640.75+192031.8	9.1113176	19.3422002
SDSSJ100134.69+195759.5	10.0263109	19.9665843
SDSSJ155412.36+143625.4	15.9034255	14.6070905
SDSSJ104949.97+325848.3	10.8305423	32.9801437
SDSSJ115004.92+262855.0	11.8346979	26.4820056
SDSSJ121231.87+290958.7	12.2088529	29.1663353
SDSSJ131730.95+310547.3	13.2919247	31.0964663
SDSSJ131846.72+274356.1	13.3129804	27.7322445
SDSSJ132513.98+204304.9	13.4205492	20.7180189
SDSSJ142830.05+272427.5	14.4750299	27.4075855
SDSSJ105209.42+325630.3	10.8692818	32.9417904
SDSSJ110310.51+275851.0	11.0529226	27.9809009
SDSSJ145213.53+282307.0	14.8704268	28.3852725
SDSSJ132427.45+140529.6	13.407627	14.0915331
SDSSJ135658.54+373623.0	13.949588	37.6063403
SDSSJ231413.99+133458.5	23.2372288	13.5827731
SDSSJ120603.75+203620.1	12.101041	20.6056008
SDSSJ121041.71+131935.1	12.1782545	13.3264148
6dFJ2305119-430558:	23.0865917	-43.0974722
SDSSJ075523.26+264427.3	7.923131	26.7410749
2MASXJ16312081+2011077	16.5224512	20.1856286
UGC04768	9.0869906	-0.496596
UGC04915	9.2913882	-0.6205516
UGC04956	9.3339359	1.0382932
UGC04996	9.3876921	-0.7280712
IC0728	11.7473503	-1.6012744
UGC06750	11.7777033	-1.9958668
NGC3907B	11.8232006	-1.0837944
NGC3907	11.8250387	-1.0865202
IC0753	11.986909	-0.5239261
UGC06934	11.9588429	-1.2529176
NGC4044	12.0415334	-0.2124224
PGC038075	12.0536803	1.9507619
PGC038120	12.0624022	1.69502
UGC07011	12.0321265	-1.0692274
PGC038559	12.142017	1.9094001
UGC07057	12.0722282	1.5675147
NGC4139	12.0761194	1.8015831
NGC4077	12.0772371	1.7876978
PGC038305	12.0938116	1.828167
PGC038311	12.0946479	1.5749931
NGC4202	12.3023757	-1.0640776
UGC07177	12.1844655	0.9723585
IC0976	14.145359	-1.1616482
NGC5496	14.1938449	-1.1578822
NGC5691	14.6314814	-0.3988812
UGC09469	14.6956538	-1.8072752
IC1054	14.7753441	1.2747693
NGC5750	14.7697573	-0.2229715
SDSSJ084014.22+053801.5	8.6706153	5.6337857
SDSSJ152929.48+260018.7	15.491521	26.0051938
SDSSJ114013.28+152040.8	11.6703522	15.3447747
UGC00272	0.4638152	-1.1999464
NGC5027	13.2224975	6.0612271
UGC07065	12.0797818	-2.7200322
NGC4421	12.4507079	15.4614639
PGC035705	11.5625705	-3.4369633
IC0849	13.1274225	-0.9423763
UGC08360	13.3028005	-1.2436593
NGC1299	3.3360229	-6.2619729
UGC04254	8.1566775	0.6094784
NGC5227	13.5901503	1.4105955
NGC4653	12.7308143	-0.5612163
IC3430	12.5046737	9.0852432
IC3167	12.3385529	9.5453639
NGC4268	12.3297834	5.2837304
NGC4259	12.3228384	5.3763837
PGC041387	12.5167395	15.730717
NGC4543	12.5889535	6.1151166
NGC4598	12.6699845	8.3837296
IC3637	12.6720982	14.7149508
ESO050-006	0.2330528	-70.0226667
ESO051-011	1.0000778	-68.1272639
ESO013-009	1.0455158	-80.2339064
NGC0643B	1.6535694	-75.0108889
NGC2573	1.6930943	-89.3345901
ESO003-007	2.0046347	-83.9876806
ESO030-014	2.2989278	-76.0811944
ESO081-006	2.3155778	-66.0601944
ESO003-015	3.4018514	-84.1603472
ESO015-005	3.9754351	-81.0630259
ESO004-006	3.826642	-83.9622392
ESO004-013	4.4579838	-83.5506863
ESO015-015	4.8045028	-81.6834444
ESO031-020	3.6864042	-77.1362639
ESO085-034	5.0547694	-63.7509444
ESO119-048	5.2433611	-61.4814444
NGC2150	5.9295431	-69.560875
ESO087-032	6.6114	-66.5310417
ESO034-013	6.7298441	-73.6754428
NGC2297	6.7401653	-63.7172917
NGC2381	7.3325889	-63.0670139
ESO035-005	7.3500875	-75.3860833
NGC2397A	7.3521958	-69.1153472
